Date,BA ,MCD ,TRV,CVX,MSFT
12/01/20,214.06,192.58,126.66,68.28,213.42
01/01/21,194.19,186.53,123.76,68.89,222.57
02/01/21,212.01,185.00,132.12,80.86,222.98
03/01/21,254.72,202.39,136.57,85.93,226.75
04/01/21,234.31,213.17,141.21,84.52,242.53
05/01/21,247.02,211.20,145.81,85.11,240.13
06/01/21,239.56,209.73,136.69,86.94,261.14
07/01/21,226.48,220.37,136.73,84.50,274.64
08/01/21,219.50,215.61,146.64,80.32,291.00
09/01/21,219.94,220.12,139.57,85.34,272.28
10/01/21,207.03,224.17,148.53,96.31,320.28
11/01/21,197.85,223.31,135.67,94.95,319.29
12/01/21,201.32,246.09,144.42,99.86,325.42
01/01/22,200.24,238.18,154.31,111.75,300.90
02/01/22,205.34,224.70,159.56,122.53,289.10
03/01/22,191.50,228.27,169.68,140.01,298.93
04/01/22,148.84,230.00,159.68,134.72,269.08
05/01/22,131.40,232.82,167.12,150.18,263.60
06/01/22,136.72,227.90,157.87,125.52,249.60
07/01/22,159.31,244.47,148.93,141.99,272.83
08/01/22,160.25,234.17,151.68,137.03,254.11
09/01/22,121.08,215.35,143.76,125.69,226.82
10/01/22,142.51,254.48,174.09,158.25,226.07
11/01/22,178.88,254.60,179.13,160.36,248.48
12/01/22,190.49,247.34,176.95,158.24,234.22
01/01/23,213.00,250.97,181.27,153.41,242.02
02/01/23,201.55,247.70,175.58,141.73,243.60
03/01/23,212.43,263.95,162.57,145.11,282.27
04/01/23,206.78,279.18,172.71,149.93,300.84
05/01/23,205.70,269.14,161.36,133.96,321.53
06/01/23,211.16,281.69,165.57,141.31,334.15
07/01/23,238.85,278.24,165.51,146.98,329.62
08/01/23,224.03,266.81,154.60,144.68,321.61
09/01/23,191.68,251.35,156.60,152.89,310.48
10/01/23,186.82,250.14,161.56,132.14,332.47
11/01/23,231.63,268.90,174.28,130.21,372.59
12/01/23,260.66,284.59,183.80,136.66,370.52
01/01/24,211.04,280.96,205.06,135.08,391.74
02/01/24,203.72,280.53,214.37,139.28,407.56
03/01/24,192.99,272.16,223.28,146.10,415.31
04/01/24,167.84,263.56,206.77,149.37,384.32
05/01/24,177.61,249.90,210.22,150.33,409.79
06/01/24,182.01,245.99,198.18,146.34,441.99
07/01/24,190.60,257.85,211.99,150.13,413.71
08/01/24,173.74,280.44,223.38,138.42,412.51
09/01/24,152.04,295.84,229.31,139.32,426.30
10/01/24,149.31,285.45,241.94,140.79,402.57
11/01/24,155.44,289.26,261.71,153.19,419.52
12/01/24,177.00,283.28,236.97,138.42,418.41
01/01/25,176.52,283.81,242.20,142.58,412.02
02/01/25,174.63,303.11,255.35,151.59,394.08
03/01/25,170.55,307.08,261.25,161.65,373.39
04/01/25,183.24,316.05,261.99,131.47,393.15
05/01/25,207.32,310.32,273.46,132.09,457.91
06/01/25,209.53,288.88,265.37,140.05,495.67
07/01/25,221.84,298.38,259.19,148.31,531.63
08/01/25,234.68,311.77,270.42,157.08,504.91
09/01/25,215.83,302.17,278.10,153.57,516.98
10/01/25,201.02,298.43,268.62,155.98,516.84
11/01/25,189.00,311.82,292.86,149.46,491.09
